bin 20000 de 0.00773635
threshold 0
3.257 6.86541e-08 1.41492e-07
3.26474 6.85708e-08 1.41492e-07
3.27248 6.84876e-08 1.41491e-07
3.28021 6.84046e-08 1.41491e-07
3.28795 6.83217e-08 1.41491e-07
3.29568 6.8239e-08 1.4149e-07
3.30342 6.81565e-08 1.4149e-07
3.31116 6.80742e-08 1.41489e-07
3.31889 6.7992e-08 1.41489e-07
3.32663 6.79099e-08 1.41489e-07
3.33437 6.78281e-08 1.41489e-07
3.3421 6.77464e-08 1.41488e-07
3.34984 6.76648e-08 1.41488e-07
3.35758 6.75835e-08 1.41488e-07
3.36531 6.75023e-08 1.41488e-07
3.37305 6.74212e-08 1.41488e-07
3.38078 6.73403e-08 1.41488e-07
3.38852 6.72596e-08 1.41488e-07
3.39626 6.71791e-08 1.41488e-07
3.40399 6.70987e-08 1.41488e-07
3.41173 6.70184e-08 1.41488e-07
3.41947 6.69384e-08 1.41488e-07
3.4272 6.68585e-08 1.41488e-07
3.43494 6.67787e-08 1.41488e-07
3.44267 6.66991e-08 1.41488e-07
3.45041 6.66197e-08 1.41488e-07
3.45815 6.65404e-08 1.41488e-07
3.46588 6.64613e-08 1.41488e-07
3.47362 6.63824e-08 1.41488e-07
3.48136 6.63036e-08 1.41488e-07
3.48909 6.6225e-08 1.41488e-07
3.49683 6.61465e-08 1.41489e-07
3.50457 6.60682e-08 1.41489e-07
3.5123 6.599e-08 1.41489e-07
3.52004 6.5912e-08 1.41489e-07
3.52777 6.58342e-08 1.41489e-07
3.53551 6.57565e-08 1.4149e-07
3.54325 6.5679e-08 1.4149e-07
3.55098 6.56016e-08 1.4149e-07
3.55872 6.55244e-08 1.41491e-07
3.56646 6.54473e-08 1.41491e-07
3.57419 6.53704e-08 1.41491e-07
3.58193 6.52937e-08 1.41492e-07
3.58967 6.52171e-08 1.41492e-07
3.5974 6.51406e-08 1.41492e-07
3.60514 6.50643e-08 1.41493e-07
3.61287 6.49882e-08 1.41493e-07
3.62061 6.49122e-08 1.41494e-07
3.62835 6.48364e-08 1.41494e-07
3.63608 6.47607e-08 1.41494e-07
3.64382 6.46852e-08 1.41495e-07
3.65156 6.46099e-08 1.41495e-07
3.65929 6.45346e-08 1.41496e-07
3.66703 6.44596e-08 1.41496e-07
3.67477 6.43847e-08 1.41497e-07
3.6825 6.43099e-08 1.41497e-07
